Sl. No,Body Part,Type of Bionic Chip,Average Cost (INR),Country of Origin,Vulnerability Identified,Impact Score
384,Bladder,Advanced Bionics HiRes Ultra Cochlear Implant,2498616,USA,,
385,Arm,Myoelectric Control Chips,3358052,USA,,
386,Foot,Össur Proprio Foot Prosthetic Foot,3750461,USA,Communication Vulnerabilities,3
387,Arm,Integra LifeSciences Cadence Total Ankle System,5888486,Iceland,,
388,Leg,GENUTECH Genutrain OA Prosthetic Knee Implant,98456,China,Hardware Vulnerabilities,7
389,Knee,POWER KNEE by Össur,1560973,USA,,
390,Pancreas,Retinal Implant Chips,2869450,Iceland,,
391,Limbs (Arm/Leg),Myoelectric Control Chips,5227911,UK,,
392,Hip,Artificial Pancreas Control Chips,3035046,Iceland,,
393,Bladder,DePuy Synthes ATTUNE® Primary Total Hip System,1645262,USA,,
394,Brain,Neuroprosthetic Chips,3084596,USA,,
395,Cochlea,Cochlear Implant Chips,5668021,USA,,
396,Leg,i-Limb Ultra Prosthetic Hand Control System,3306246,USA,Software Vulnerabilities,9
397,Ankle,Myoelectric Control Chips,6611407,USA,,
398,Hand,Advanced Bionics HiRes Ultra Cochlear Implant,4085770,USA,,
399,Eye,DePuy Synthes ATTUNE® Primary Total Hip System,1254934,USA,,
400,Limbs (Arm/Leg),Advanced Bionics HiRes Ultra Cochlear Implant,4322003,Iceland,,
401,Bladder,GENUTECH Genutrain OA Prosthetic Knee Implant,5303968,USA,,
402,Arm,Artificial Pancreas Control Chips,1028453,USA,,
403,Pancreas,Integra LifeSciences Cadence Total Ankle System,4197544,USA,Weak Password Policy,2
404,Foot,Modular Prosthetic Limb Control System,5205482,Iceland,,
405,Arm,Cochlear Implant Chips,5561642,USA,Hardware Vulnerabilities,9
406,Limbs (Arm/Leg),Artificial Pancreas Control Chips,6874053,USA,Communication Vulnerabilities,6
407,Bladder,Advanced Bionics HiRes Ultra Cochlear Implant,3846647,USA,,
408,Arm,Cardiac Implant Chips,6528056,UK,,
409,Leg,Integra LifeSciences Cadence Total Ankle System,974316,Switzerland,Communication Vulnerabilities,7
410,Shoulder,POWER KNEE by Össur,88603,China,,
411,Bladder,Zimmer Biomet Comprehensive Reverse Shoulder System,5249984,Iceland,,
412,Knee,Advanced Bionics HiRes Ultra Cochlear Implant,1566356,Iceland,Weak Password Policy,1
413,Hand,DePuy Synthes ATTUNE® Primary Total Hip System,3385853,USA,Weak Password Policy,5
414,Eye,GENUTECH Genutrain OA Prosthetic Knee Implant,5601423,USA,,
415,Ankle,Myoelectric Control Chips,1171923,USA,,
416,Heart,POWER KNEE by Össur,1058684,Iceland,,
417,Heart,Cochlear Implant Chips,1455622,Germany,Hardware Vulnerabilities,2
418,Hand,GENUTECH Genutrain OA Prosthetic Knee Implant,2157853,USA,,
419,Spine,Retinal Implant Chips,1682355,USA,,
420,Hip,POWER KNEE by Össur,1264114,USA,,
421,Shoulder,POWER KNEE by Össur,3790320,USA,,
422,Bladder,Össur Proprio Foot Prosthetic Foot,1083369,USA,,
423,Spine,Artificial Pancreas Control Chips,3288042,USA,,
424,Heart,Cochlear Implant Chips,3771841,USA,,
425,Cochlea,Retinal Implant Chips,4781526,USA,,
426,Cochlea,Integra LifeSciences Cadence Total Ankle System,5891576,Germany,,
427,Arm,Retinal Implant Chips,5906895,Germany,,
428,Leg,i-Limb Ultra Prosthetic Hand Control System,2561329,Germany,,
429,Brain,Artificial Urinary Sphincter Control System,2155527,Iceland,,
430,Leg,POWER KNEE by Össur,3926656,USA,,
431,Knee,Össur Proprio Foot Prosthetic Foot,3026566,USA,,
432,Foot,Modular Prosthetic Limb Control System,5049321,USA,,
433,Spine,Advanced Bionics HiRes Ultra Cochlear Implant,3374984,Iceland,,
434,Ankle,Neuroprosthetic Chips,1025887,Germany,,
435,Foot,i-Limb Ultra Prosthetic Hand Control System,2506362,UK,Software Vulnerabilities,9
436,Eye,Neurostimulator Implants for Chronic Pain,2159660,Germany,Software Vulnerabilities,4
437,Leg,Össur Proprio Foot Prosthetic Foot,4537992,USA,,
438,Cochlea,Myoelectric Control Chips,6846601,USA,,
439,Knee,Advanced Bionics HiRes Ultra Cochlear Implant,1531158,USA,,
440,Foot,Zimmer Biomet Comprehensive Reverse Shoulder System,1589212,USA,,
441,Ear,Myoelectric Control Chips,4825216,USA,,
442,Shoulder,POWER KNEE by Össur,3414410,Germany,,
443,Bladder,DePuy Synthes ATTUNE® Primary Total Hip System,6068848,UK,,
444,Heart,GENUTECH Genutrain OA Prosthetic Knee Implant,6129561,Germany,,
445,Arm,Neuroprosthetic Chips,5275846,USA,,
446,Ear,Integra LifeSciences Cadence Total Ankle System,5478416,USA,,
447,Spine,POWER KNEE by Össur,4913211,Switzerland,,
448,Eye,Retinal Implant Chips,3220106,USA,,
449,Hip,Cochlear Implant Chips,1109895,USA,Communication Vulnerabilities,7
450,Brain,Össur Proprio Foot Prosthetic Foot,4725054,USA,,
451,Leg,Cardiac Implant Chips,3293938,Switzerland,,
452,Cochlea,GENUTECH Genutrain OA Prosthetic Knee Implant,5460165,USA,,
453,Arm,Integra LifeSciences Cadence Total Ankle System,6439840,USA,,
454,Knee,Cochlear Implant Chips,3316904,Switzerland,,
455,Hip,i-Limb Ultra Prosthetic Hand Control System,5974994,USA,,
456,Ankle,Artificial Urinary Sphincter Control System,3314193,USA,Software Vulnerabilities,9
457,Shoulder,Cardiac Implant Chips,1238513,USA,,
458,Hand,Cochlear Implant Chips,6981996,USA,,
459,Brain,Össur Proprio Foot Prosthetic Foot,5228755,Germany,Communication Vulnerabilities,4
460,Hip,POWER KNEE by Össur,3579686,USA,,
461,Foot,Artificial Pancreas Control Chips,1070526,USA,,
462,Leg,DePuy Synthes ATTUNE® Primary Total Hip System,1759599,USA,,
463,Arm,Össur Proprio Foot Prosthetic Foot,6474491,USA,,
464,Limbs (Arm/Leg),Artificial Pancreas Control Chips,5951459,USA,,
465,Brain,DePuy Synthes ATTUNE® Primary Total Hip System,3562484,USA,,
466,Bladder,Neuroprosthetic Chips,3065178,Germany,,
467,Hand,Neurostimulator Implants for Chronic Pain,194233,China,,
468,Hip,Cardiac Implant Chips,1044843,Switzerland,,
469,Arm,Modular Prosthetic Limb Control System,6263265,USA,,
470,Leg,Zimmer Biomet Comprehensive Reverse Shoulder System,5504643,USA,,
471,Shoulder,i-Limb Ultra Prosthetic Hand Control System,4646472,Germany,,
472,Brain,Modular Prosthetic Limb Control System,3291700,Germany,,
473,Pancreas,Zimmer Biomet Comprehensive Reverse Shoulder System,5157162,USA,,
474,Ear,GENUTECH Genutrain OA Prosthetic Knee Implant,3486387,USA,,
475,Hip,Cochlear Implant Chips,1883418,USA,,
476,Leg,Cochlear Implant Chips,4733035,USA,,
477,Heart,Neuroprosthetic Chips,4748308,Switzerland,,
478,Cochlea,Cardiac Implant Chips,2857843,USA,,
479,Bladder,Integra LifeSciences Cadence Total Ankle System,99299,China,Weak Password Policy,7
480,Shoulder,GENUTECH Genutrain OA Prosthetic Knee Implant,1723298,USA,Hardware Vulnerabilities,2
481,Shoulder,POWER KNEE by Össur,2402265,USA,,
482,Ear,i-Limb Ultra Prosthetic Hand Control System,2769565,UK,,
483,Ear,Integra LifeSciences Cadence Total Ankle System,3107746,USA,,
484,Foot,Myoelectric Control Chips,2591292,USA,,
485,Heart,Cardiac Implant Chips,4172261,Iceland,,
486,Knee,Neurostimulator Implants for Chronic Pain,4420260,USA,,
487,Foot,Cardiac Implant Chips,1253693,Iceland,,
488,Foot,Modular Prosthetic Limb Control System,1335380,Iceland,,
489,Eye,Modular Prosthetic Limb Control System,2536009,Germany,,
490,Cochlea,Myoelectric Control Chips,6206584,Iceland,,
491,Shoulder,Modular Prosthetic Limb Control System,95381,China,Software Vulnerabilities,7
492,Spine,Cochlear Implant Chips,3938395,USA,Weak Password Policy,7
493,Foot,POWER KNEE by Össur,4035322,USA,,
494,Hand,POWER KNEE by Össur,6838657,USA,,
495,Brain,Artificial Pancreas Control Chips,865648,USA,Weak Password Policy,1
496,Heart,Integra LifeSciences Cadence Total Ankle System,4029308,USA,Hardware Vulnerabilities,7
497,Hand,Retinal Implant Chips,1406327,USA,,
498,Cochlea,Össur Proprio Foot Prosthetic Foot,2801026,Iceland,Hardware Vulnerabilities,5
499,Leg,Retinal Implant Chips,6901554,USA,,
500,Hip,Artificial Pancreas Control Chips,4364258,USA,,
501,Limbs (Arm/Leg),Cochlear Implant Chips,1378245,Iceland,,
502,Foot,Össur Proprio Foot Prosthetic Foot,5564161,Germany,,
503,Pancreas,Advanced Bionics HiRes Ultra Cochlear Implant,1655556,USA,,
504,Hip,DePuy Synthes ATTUNE® Primary Total Hip System,5950184,USA,,
505,Hip,Myoelectric Control Chips,6829515,Iceland,Communication Vulnerabilities,1
506,Eye,i-Limb Ultra Prosthetic Hand Control System,167734,China,,
507,Arm,Neuroprosthetic Chips,3174068,USA,,
508,Heart,Össur Proprio Foot Prosthetic Foot,6916550,USA,,
509,Cochlea,Össur Proprio Foot Prosthetic Foot,1272909,USA,,
510,Spine,DePuy Synthes ATTUNE® Primary Total Hip System,5516291,USA,,
511,Foot,Neuroprosthetic Chips,5665056,USA,,
512,Limbs (Arm/Leg),i-Limb Ultra Prosthetic Hand Control System,6372499,USA,Software Vulnerabilities,3
513,Heart,DePuy Synthes ATTUNE® Primary Total Hip System,5428280,Switzerland,,
514,Heart,Neuroprosthetic Chips,5178161,Germany,Weak Password Policy,5
515,Limbs (Arm/Leg),Artificial Pancreas Control Chips,6681648,USA,,
516,Leg,POWER KNEE by Össur,4381325,USA,,
517,Ankle,Artificial Pancreas Control Chips,3981656,Iceland,,
518,Bladder,Cardiac Implant Chips,222833,China,Communication Vulnerabilities,7
519,Bladder,Artificial Pancreas Control Chips,3334597,USA,,
520,Brain,Össur Proprio Foot Prosthetic Foot,1668373,USA,,
521,Hand,Integra LifeSciences Cadence Total Ankle System,4150065,USA,,
522,Leg,Zimmer Biomet Comprehensive Reverse Shoulder System,3377667,USA,,
523,Leg,Cochlear Implant Chips,4772444,USA,,
524,Spine,GENUTECH Genutrain OA Prosthetic Knee Implant,1383381,USA,,
525,Shoulder,Modular Prosthetic Limb Control System,820884,USA,,
526,Spine,POWER KNEE by Össur,3284057,Iceland,,
527,Heart,POWER KNEE by Össur,4822230,UK,Weak Password Policy,9
528,Ankle,Cardiac Implant Chips,1896621,Switzerland,,
529,Hand,i-Limb Ultra Prosthetic Hand Control System,113122,China,,
530,Heart,Retinal Implant Chips,5231432,USA,Communication Vulnerabilities,9
531,Arm,Neuroprosthetic Chips,2956181,USA,,
532,Heart,Myoelectric Control Chips,5936354,USA,,
533,Cochlea,Myoelectric Control Chips,2492961,USA,,
534,Foot,Advanced Bionics HiRes Ultra Cochlear Implant,1234459,UK,,
535,Ear,Integra LifeSciences Cadence Total Ankle System,3661055,Switzerland,Communication Vulnerabilities,2
536,Eye,i-Limb Ultra Prosthetic Hand Control System,1352655,Switzerland,,
537,Eye,Myoelectric Control Chips,1748359,USA,,
538,Spine,Neurostimulator Implants for Chronic Pain,2662897,USA,,
539,Shoulder,GENUTECH Genutrain OA Prosthetic Knee Implant,3021913,USA,,
540,Foot,Retinal Implant Chips,2787270,USA,,
541,Ankle,DePuy Synthes ATTUNE® Primary Total Hip System,2181555,USA,Software Vulnerabilities,3
542,Shoulder,i-Limb Ultra Prosthetic Hand Control System,2736201,USA,,
543,Knee,Zimmer Biomet Comprehensive Reverse Shoulder System,5561588,USA,,
544,Eye,Cochlear Implant Chips,6061847,USA,,
545,Ear,Artificial Pancreas Control Chips,2993037,USA,,
546,Shoulder,Zimmer Biomet Comprehensive Reverse Shoulder System,4998155,USA,,
547,Bladder,Integra LifeSciences Cadence Total Ankle System,1680789,USA,,
548,Knee,Artificial Urinary Sphincter Control System,4340600,Iceland,,
549,Limbs (Arm/Leg),Össur Proprio Foot Prosthetic Foot,2045278,Germany,Hardware Vulnerabilities,5
550,Leg,Modular Prosthetic Limb Control System,6533082,Germany,,
551,Ankle,Neuroprosthetic Chips,2873042,USA,Communication Vulnerabilities,7
552,Eye,Cochlear Implant Chips,5412719,USA,Weak Password Policy,7
553,Foot,Cochlear Implant Chips,2762724,USA,,
554,Spine,Neuroprosthetic Chips,1017888,UK,,
555,Shoulder,Modular Prosthetic Limb Control System,2959353,UK,,
556,Brain,DePuy Synthes ATTUNE® Primary Total Hip System,2089370,USA,,
557,Eye,POWER KNEE by Össur,960653,USA,,
558,Arm,Artificial Urinary Sphincter Control System,6012494,Germany,Software Vulnerabilities,5
559,Ankle,Retinal Implant Chips,4364039,USA,Hardware Vulnerabilities,7
560,Bladder,Myoelectric Control Chips,977485,Germany,,
561,Leg,Neuroprosthetic Chips,5208348,USA,,
562,Ankle,Cochlear Implant Chips,5622913,Iceland,,
563,Brain,Modular Prosthetic Limb Control System,5995462,USA,,
564,Eye,Neurostimulator Implants for Chronic Pain,2824930,UK,Software Vulnerabilities,2
565,Foot,i-Limb Ultra Prosthetic Hand Control System,5982839,USA,,
566,Hand,Retinal Implant Chips,4962246,Iceland,,
567,Arm,Myoelectric Control Chips,1736359,USA,,
568,Cochlea,Artificial Pancreas Control Chips,1507299,USA,,
569,Heart,Advanced Bionics HiRes Ultra Cochlear Implant,2477445,USA,Weak Password Policy,6
570,Ankle,Cochlear Implant Chips,5569979,USA,,
571,Ankle,Cardiac Implant Chips,131977,China,Hardware Vulnerabilities,9
572,Ear,Retinal Implant Chips,1293156,Germany,,
573,Shoulder,Neurostimulator Implants for Chronic Pain,1933951,Switzerland,,
574,Foot,POWER KNEE by Össur,222725,China,Communication Vulnerabilities,9
575,Foot,Modular Prosthetic Limb Control System,2417390,USA,,
576,Hip,Artificial Pancreas Control Chips,4502939,Iceland,,
577,Pancreas,Retinal Implant Chips,4106641,USA,,
578,Ankle,Cardiac Implant Chips,1478382,UK,,
579,Hand,Integra LifeSciences Cadence Total Ankle System,5710332,USA,,
580,Bladder,Artificial Pancreas Control Chips,4074844,Germany,Software Vulnerabilities,2
581,Brain,POWER KNEE by Össur,3931764,USA,,
582,Knee,DePuy Synthes ATTUNE® Primary Total Hip System,151636,China,Software Vulnerabilities,9
583,Arm,Neurostimulator Implants for Chronic Pain,5924631,USA,,
584,Arm,Zimmer Biomet Comprehensive Reverse Shoulder System,2904773,Germany,,
585,Heart,GENUTECH Genutrain OA Prosthetic Knee Implant,4786160,Germany,,
586,Heart,GENUTECH Genutrain OA Prosthetic Knee Implant,5254622,USA,,
587,Foot,Cardiac Implant Chips,3553126,Switzerland,,
588,Limbs (Arm/Leg),Neuroprosthetic Chips,3847467,USA,,
589,Eye,Cardiac Implant Chips,5530701,USA,,
590,Hand,DePuy Synthes ATTUNE® Primary Total Hip System,964737,USA,,
591,Spine,Retinal Implant Chips,2227794,Iceland,Hardware Vulnerabilities,7
592,Spine,GENUTECH Genutrain OA Prosthetic Knee Implant,4343016,Iceland,,
593,Limbs (Arm/Leg),Retinal Implant Chips,6313847,UK,Software Vulnerabilities,9
594,Heart,Neuroprosthetic Chips,6427280,USA,Hardware Vulnerabilities,4
595,Hand,Neurostimulator Implants for Chronic Pain,4763162,USA,,
596,Hand,Artificial Urinary Sphincter Control System,5475384,USA,,
597,Eye,Cochlear Implant Chips,4831088,USA,,
598,Bladder,Myoelectric Control Chips,1704108,UK,,
599,Hand,Modular Prosthetic Limb Control System,5490143,USA,,
600,Cochlea,i-Limb Ultra Prosthetic Hand Control System,4920849,USA,,
601,Hand,Zimmer Biomet Comprehensive Reverse Shoulder System,1886422,USA,,
602,Brain,Össur Proprio Foot Prosthetic Foot,3940674,USA,,
603,Leg,Cardiac Implant Chips,5406243,Germany,,
604,Hand,Artificial Urinary Sphincter Control System,3589064,USA,,
605,Eye,Artificial Pancreas Control Chips,5242742,USA,,
606,Heart,Cochlear Implant Chips,6560301,USA,,
607,Pancreas,Integra LifeSciences Cadence Total Ankle System,3016674,USA,,
608,Leg,Retinal Implant Chips,4045603,Iceland,,
609,Shoulder,i-Limb Ultra Prosthetic Hand Control System,3244909,Germany,,
610,Leg,Artificial Urinary Sphincter Control System,129058,China,Communication Vulnerabilities,9
611,Foot,Össur Proprio Foot Prosthetic Foot,5932580,USA,,
612,Knee,Neurostimulator Implants for Chronic Pain,5321011,USA,Hardware Vulnerabilities,8
613,Shoulder,Myoelectric Control Chips,2007131,Iceland,,
614,Ankle,DePuy Synthes ATTUNE® Primary Total Hip System,3661951,USA,Software Vulnerabilities,5
615,Pancreas,Integra LifeSciences Cadence Total Ankle System,2124464,Iceland,,
616,Arm,Myoelectric Control Chips,4727495,USA,,
617,Leg,DePuy Synthes ATTUNE® Primary Total Hip System,5296479,Iceland,,
618,Cochlea,POWER KNEE by Össur,2240147,USA,,
619,Shoulder,Retinal Implant Chips,6466553,Iceland,,
620,Ankle,Integra LifeSciences Cadence Total Ankle System,3116770,Iceland,,
621,Brain,Artificial Pancreas Control Chips,2090100,Switzerland,,
622,Pancreas,Myoelectric Control Chips,926883,Germany,,
623,Pancreas,Cardiac Implant Chips,1507796,Switzerland,,
624,Hip,Zimmer Biomet Comprehensive Reverse Shoulder System,5649126,UK,,
625,Limbs (Arm/Leg),Retinal Implant Chips,206033,China,Hardware Vulnerabilities,9
626,Knee,Myoelectric Control Chips,3376628,Iceland,,
627,Leg,Integra LifeSciences Cadence Total Ankle System,1899651,USA,,
628,Spine,Zimmer Biomet Comprehensive Reverse Shoulder System,4295285,USA,,
629,Brain,DePuy Synthes ATTUNE® Primary Total Hip System,2285329,Switzerland,Hardware Vulnerabilities,5
630,Brain,Integra LifeSciences Cadence Total Ankle System,980058,USA,Hardware Vulnerabilities,4
631,Bladder,DePuy Synthes ATTUNE® Primary Total Hip System,1904143,USA,,
632,Hand,Neuroprosthetic Chips,2451825,USA,,
633,Spine,Cardiac Implant Chips,6306186,USA,,
634,Leg,DePuy Synthes ATTUNE® Primary Total Hip System,6495268,USA,,
635,Heart,Neuroprosthetic Chips,2315228,USA,,
636,Bladder,Myoelectric Control Chips,3770102,USA,,
637,Eye,Artificial Pancreas Control Chips,4097930,USA,Software Vulnerabilities,9
638,Eye,Zimmer Biomet Comprehensive Reverse Shoulder System,99826,China,,
639,Shoulder,Integra LifeSciences Cadence Total Ankle System,5548273,USA,,
640,Arm,Artificial Pancreas Control Chips,3706813,Iceland,Communication Vulnerabilities,6
641,Ear,Cardiac Implant Chips,3307063,USA,,
642,Knee,Zimmer Biomet Comprehensive Reverse Shoulder System,820170,USA,,
643,Hand,POWER KNEE by Össur,4627537,UK,Communication Vulnerabilities,7
644,Spine,Össur Proprio Foot Prosthetic Foot,1672221,Switzerland,,
645,Brain,Artificial Pancreas Control Chips,1682560,Switzerland,,
646,Hand,Artificial Pancreas Control Chips,4392735,Switzerland,,
647,Bladder,Cardiac Implant Chips,3782222,USA,,
648,Hip,Advanced Bionics HiRes Ultra Cochlear Implant,2433718,Germany,Communication Vulnerabilities,9
649,Foot,Myoelectric Control Chips,90961,China,,
650,Cochlea,Artificial Urinary Sphincter Control System,120885,China,Hardware Vulnerabilities,8
651,Brain,Cardiac Implant Chips,884750,USA,,
652,Ankle,Modular Prosthetic Limb Control System,4791637,USA,,
653,Spine,GENUTECH Genutrain OA Prosthetic Knee Implant,5680621,Switzerland,,
654,Shoulder,GENUTECH Genutrain OA Prosthetic Knee Implant,6581574,USA,,
655,Pancreas,i-Limb Ultra Prosthetic Hand Control System,3569419,USA,,
656,Ear,Cochlear Implant Chips,3916189,USA,,
657,Ankle,Integra LifeSciences Cadence Total Ankle System,6440761,Germany,,
658,Limbs (Arm/Leg),i-Limb Ultra Prosthetic Hand Control System,907887,USA,,
659,Hand,Neurostimulator Implants for Chronic Pain,161744,China,Communication Vulnerabilities,7
660,Knee,Myoelectric Control Chips,2349103,USA,,
661,Ankle,DePuy Synthes ATTUNE® Primary Total Hip System,3422279,USA,Software Vulnerabilities,1
662,Brain,Neuroprosthetic Chips,1284735,USA,,
663,Brain,Artificial Urinary Sphincter Control System,6523199,Germany,,
664,Pancreas,POWER KNEE by Össur,3960926,USA,,
665,Hip,DePuy Synthes ATTUNE® Primary Total Hip System,2045351,USA,,
666,Heart,Artificial Pancreas Control Chips,2205030,USA,,
667,Limbs (Arm/Leg),Neuroprosthetic Chips,3476107,USA,,
668,Shoulder,Össur Proprio Foot Prosthetic Foot,4877127,Switzerland,,
669,Bladder,Integra LifeSciences Cadence Total Ankle System,1731927,USA,,
670,Ankle,Integra LifeSciences Cadence Total Ankle System,5765050,UK,,
671,Hand,Modular Prosthetic Limb Control System,2510676,Iceland,,
672,Hip,Advanced Bionics HiRes Ultra Cochlear Implant,3327959,USA,,
673,Heart,POWER KNEE by Össur,4930662,Iceland,Hardware Vulnerabilities,4
674,Shoulder,POWER KNEE by Össur,4281048,USA,,
675,Cochlea,DePuy Synthes ATTUNE® Primary Total Hip System,1878972,Iceland,,
676,Ankle,Artificial Urinary Sphincter Control System,6095956,USA,,
677,Hand,GENUTECH Genutrain OA Prosthetic Knee Implant,5335101,Iceland,,
678,Foot,Cochlear Implant Chips,3389902,USA,,
679,Heart,Retinal Implant Chips,4048818,USA,,
680,Bladder,Neurostimulator Implants for Chronic Pain,2436735,USA,,
681,Shoulder,Advanced Bionics HiRes Ultra Cochlear Implant,6904644,USA,,
682,Ear,i-Limb Ultra Prosthetic Hand Control System,4384472,UK,Weak Password Policy,5
683,Brain,Artificial Urinary Sphincter Control System,6847005,USA,,
684,Eye,Cochlear Implant Chips,1857402,Germany,,
685,Pancreas,Neurostimulator Implants for Chronic Pain,812213,Iceland,,
686,Arm,Cardiac Implant Chips,6359592,USA,Software Vulnerabilities,9
687,Spine,Össur Proprio Foot Prosthetic Foot,2700105,USA,Hardware Vulnerabilities,3
688,Hip,Cochlear Implant Chips,6753095,USA,Communication Vulnerabilities,7
689,Heart,Cardiac Implant Chips,3405797,USA,,
690,Ear,Zimmer Biomet Comprehensive Reverse Shoulder System,2252226,USA,,
691,Hand,Retinal Implant Chips,5214093,USA,,
692,Arm,Modular Prosthetic Limb Control System,3724110,USA,Software Vulnerabilities,7
693,Hip,Zimmer Biomet Comprehensive Reverse Shoulder System,2895055,USA,,
694,Shoulder,Neuroprosthetic Chips,1729754,USA,,
695,Ear,i-Limb Ultra Prosthetic Hand Control System,5528278,USA,,
696,Heart,Artificial Pancreas Control Chips,3166557,USA,,
697,Arm,POWER KNEE by Össur,5021906,USA,,
698,Leg,Myoelectric Control Chips,5614180,Germany,,
699,Bladder,Össur Proprio Foot Prosthetic Foot,2926624,USA,,
700,Hip,Modular Prosthetic Limb Control System,827282,USA,,
701,Knee,Neurostimulator Implants for Chronic Pain,2895942,USA,,
702,Arm,Cochlear Implant Chips,2577692,USA,,
703,Bladder,Integra LifeSciences Cadence Total Ankle System,963045,UK,,
704,Hip,Artificial Pancreas Control Chips,6516780,Iceland,,
705,Hand,Zimmer Biomet Comprehensive Reverse Shoulder System,5970066,USA,,
706,Hip,GENUTECH Genutrain OA Prosthetic Knee Implant,2336168,USA,Software Vulnerabilities,8
707,Cochlea,Modular Prosthetic Limb Control System,6455682,Iceland,Software Vulnerabilities,6
708,Knee,Integra LifeSciences Cadence Total Ankle System,2377063,USA,,
709,Hip,Neuroprosthetic Chips,2819765,Switzerland,,
710,Ankle,Neuroprosthetic Chips,4087240,USA,Software Vulnerabilities,4
711,Hip,i-Limb Ultra Prosthetic Hand Control System,2519094,Germany,Communication Vulnerabilities,9
712,Limbs (Arm/Leg),Cardiac Implant Chips,961913,USA,,
713,Heart,Össur Proprio Foot Prosthetic Foot,4413339,USA,Weak Password Policy,5
714,Shoulder,Modular Prosthetic Limb Control System,2470930,USA,,
715,Pancreas,Retinal Implant Chips,223346,China,Hardware Vulnerabilities,8
716,Spine,Retinal Implant Chips,3359627,USA,,
717,Bladder,Advanced Bionics HiRes Ultra Cochlear Implant,4786949,USA,Communication Vulnerabilities,9
718,Ear,i-Limb Ultra Prosthetic Hand Control System,60179,China,Hardware Vulnerabilities,7
719,Brain,Zimmer Biomet Comprehensive Reverse Shoulder System,6209276,USA,,
720,Ankle,Artificial Pancreas Control Chips,6084804,USA,,
721,Bladder,Cardiac Implant Chips,4785065,Germany,,
722,Hand,Össur Proprio Foot Prosthetic Foot,3260084,USA,,
723,Foot,Össur Proprio Foot Prosthetic Foot,1636369,Switzerland,,
724,Limbs (Arm/Leg),GENUTECH Genutrain OA Prosthetic Knee Implant,5407944,Switzerland,,
725,Ankle,Myoelectric Control Chips,6066450,USA,,
726,Hand,Retinal Implant Chips,2460557,USA,,
727,Shoulder,Advanced Bionics HiRes Ultra Cochlear Implant,6104591,USA,,
728,Leg,Zimmer Biomet Comprehensive Reverse Shoulder System,892573,USA,,
729,Heart,Advanced Bionics HiRes Ultra Cochlear Implant,6115404,USA,,
730,Pancreas,Integra LifeSciences Cadence Total Ankle System,1970748,Iceland,,
731,Cochlea,Zimmer Biomet Comprehensive Reverse Shoulder System,2256795,USA,Communication Vulnerabilities,6
732,Limbs (Arm/Leg),DePuy Synthes ATTUNE® Primary Total Hip System,2664379,UK,,
733,Heart,Össur Proprio Foot Prosthetic Foot,1051954,Iceland,,
734,Leg,Modular Prosthetic Limb Control System,5676343,USA,,
735,Ankle,Retinal Implant Chips,5348720,USA,,
736,Hand,Myoelectric Control Chips,2138422,USA,,
737,Knee,Retinal Implant Chips,6687118,USA,,
738,Hand,DePuy Synthes ATTUNE® Primary Total Hip System,255649,China,Weak Password Policy,8
739,Knee,Artificial Urinary Sphincter Control System,4673255,USA,,
740,Leg,Artificial Urinary Sphincter Control System,5325802,USA,,
741,Leg,Cochlear Implant Chips,2180979,UK,,
742,Heart,Össur Proprio Foot Prosthetic Foot,2097391,USA,,
743,Hand,POWER KNEE by Össur,4728617,Germany,,
744,Arm,Myoelectric Control Chips,4305992,Switzerland,,
745,Hand,Modular Prosthetic Limb Control System,891520,Germany,,
746,Spine,Artificial Pancreas Control Chips,4810529,Iceland,,
747,Brain,DePuy Synthes ATTUNE® Primary Total Hip System,6185708,USA,,
748,Eye,Cardiac Implant Chips,5409286,USA,,
749,Arm,Artificial Pancreas Control Chips,141751,China,Weak Password Policy,9
750,Brain,Neurostimulator Implants for Chronic Pain,5123643,Switzerland,,
751,Hand,Zimmer Biomet Comprehensive Reverse Shoulder System,1422014,USA,,
752,Bladder,Retinal Implant Chips,3641828,USA,,
753,Shoulder,Advanced Bionics HiRes Ultra Cochlear Implant,5276469,USA,Communication Vulnerabilities,1
754,Arm,Integra LifeSciences Cadence Total Ankle System,5035457,Germany,,
755,Ankle,Neuroprosthetic Chips,1027060,Germany,,
756,Leg,Myoelectric Control Chips,3860177,Switzerland,,
757,Hand,i-Limb Ultra Prosthetic Hand Control System,4931342,Germany,Hardware Vulnerabilities,5
758,Spine,Neuroprosthetic Chips,928145,Iceland,,
759,Leg,Integra LifeSciences Cadence Total Ankle System,2337518,UK,Hardware Vulnerabilities,5
760,Cochlea,Modular Prosthetic Limb Control System,5014891,USA,,
761,Foot,Artificial Pancreas Control Chips,2526718,Germany,Weak Password Policy,4
762,Brain,Neurostimulator Implants for Chronic Pain,6133816,USA,Hardware Vulnerabilities,6
763,Limbs (Arm/Leg),Össur Proprio Foot Prosthetic Foot,5665622,USA,,
764,Hip,GENUTECH Genutrain OA Prosthetic Knee Implant,4370825,Germany,,
765,Heart,Modular Prosthetic Limb Control System,5833350,Iceland,,
766,Ear,GENUTECH Genutrain OA Prosthetic Knee Implant,3580090,USA,,
767,Ankle,Neurostimulator Implants for Chronic Pain,2738375,USA,,
768,Leg,Retinal Implant Chips,4858366,Iceland,,
769,Foot,i-Limb Ultra Prosthetic Hand Control System,5540563,USA,,
770,Shoulder,DePuy Synthes ATTUNE® Primary Total Hip System,5659810,USA,,
